audio_url,ref_text
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_0.wav,The people of Lawrence denounced the deed; but the sheriff hoarded up the score for future revenge.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_1.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_2.wav,I could write to my man and enclose the key; he could send down the packet as he finds it. It was to me in particular that he appeared to propound this appeared almost to appeal for aid not to hesitate.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_3.wav,They could see that a conflict meant serious results.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_4.wav,"Oh yes; don't grin: I liked her extremely and am glad to this day to think she liked me, too."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_5.wav,"Whatever she thought, she was not idly musing, as one might see by the expression of her face."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_6.wav,"What a sweet voiced little innocent, it was to be sure."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_7.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_8.wav,"For there occurs at long intervals a derangement of the heavenly bodies, and then the earth is destroyed by fire."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_9.wav,The subject was a very noble one; he described the most famous action in which the Athenian people were ever engaged.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_10.wav,"They would think that they might do so too, and that would make you a great deal of trouble."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_11.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_12.wav,"I can't pray to have the things I want, he said slowly, and I won't pray not to have them, not if I'm damned for it."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_13.wav,"mr Popham exaggerated nothing, but on the contrary left much unsaid in his narrative of the family at the House of Lords."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_1_14.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_0.wav,The people of Lawrence denounced the deed; but the sheriff hoarded up the score for future revenge.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_1.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_2.wav,I could write to my man and enclose the key; he could send down the packet as he finds it. It was to me in particular that he appeared to propound this appeared almost to appeal for aid not to hesitate.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_3.wav,They could see that a conflict meant serious results.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_4.wav,"Oh yes; don't grin: I liked her extremely and am glad to this day to think she liked me, too."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_5.wav,"Whatever she thought, she was not idly musing, as one might see by the expression of her face."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_6.wav,"What a sweet voiced little innocent, it was to be sure."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_7.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_8.wav,"For there occurs at long intervals a derangement of the heavenly bodies, and then the earth is destroyed by fire."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_9.wav,The subject was a very noble one; he described the most famous action in which the Athenian people were ever engaged.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_10.wav,"They would think that they might do so too, and that would make you a great deal of trouble."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_11.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_12.wav,"I can't pray to have the things I want, he said slowly, and I won't pray not to have them, not if I'm damned for it."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_13.wav,"mr Popham exaggerated nothing, but on the contrary left much unsaid in his narrative of the family at the House of Lords."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_14.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_2_15.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_0.wav,The people of Lawrence denounced the deed; but the sheriff hoarded up the score for future revenge.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_1.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_2.wav,I could write to my man and enclose the key; he could send down the packet as he finds it. It was to me in particular that he appeared to propound this appeared almost to appeal for aid not to hesitate.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_3.wav,They could see that a conflict meant serious results.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_4.wav,"Oh yes; don't grin: I liked her extremely and am glad to this day to think she liked me, too."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_5.wav,"Whatever she thought, she was not idly musing, as one might see by the expression of her face."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_6.wav,"What a sweet voiced little innocent, it was to be sure."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_7.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_8.wav,"For there occurs at long intervals a derangement of the heavenly bodies, and then the earth is destroyed by fire."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_9.wav,The subject was a very noble one; he described the most famous action in which the Athenian people were ever engaged.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_10.wav,"They would think that they might do so too, and that would make you a great deal of trouble."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_11.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_12.wav,"I can't pray to have the things I want, he said slowly, and I won't pray not to have them, not if I'm damned for it."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_13.wav,"mr Popham exaggerated nothing, but on the contrary left much unsaid in his narrative of the family at the House of Lords."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/CL/1_3_14.wav,"Also, a draft on futurity, sometimes honored, but generally extended."
